model,horizon,score
openai_o3_mini,99.8037,86.5000
google_gemini_2_5_pro_exp,85.0463,85.8000
xai_grok_3_mini_fast_beta_high_reasoning,85.0463,85.0000
deepseek_deepseek_r1,36.1491,74.0000
openai_o1,32.6383,71.5000
xai_grok_3_mini_fast_beta_low_reasoning,29.2977,70.6000
xai_grok_3_beta,15.9441,58.7000
anthropic_claude_3_7_sonnet_thinking,12.4703,52.7000
deepseek_v3_03_24_2025,11.5413,52.2000
google_gemini_2_0_flash_001,3.8542,29.8000
deepseek_v3,3.1768,27.5000
meta_llama_4_maverick,2.8212,25.4000
anthropic_claude_3_7_sonnet,2.5451,22.5000
meta_llama_4_scout,1.7654,19.0000
google_gemini_1_5_pro_002,1.7654,18.7000
google_gemini_1_5_flash_002,1.5376,17.3000
meta_llama_3_3_instruct_turbo_70b,1.5376,16.6000
xai_grok_2,1.3392,15.2000
openai_gpt_4o_2024_08_06,1.1437,14.0000
cohere_command_a,1.1437,13.3000
openai_gpt_4o_2024_11_20,0.9432,12.1000
openai_gpt_4o_mini,0.9432,11.5000
anthropic_claude_3_5_sonnet_latest,0.7818,10.0000
mistral_large_11_2024,0.7818,9.6000
mistral_small_02_2024,,5.6000
anthropic_claude_3_5_haiku_latest,,3.5000
mistral_small_3_1_03_2025,,3.5000
ai21_jamba_1_6_mini,,0.6000
ai21_jamba_1_6_large,,0.4000
