model,aime,gpqa,gpqa_diamond,hcast_r_s,hcast_r_s_full_method,hendrycks_math,livecodebench_2411_2505,osworld,tesla_fsd,video_mme,release_date
01_ai_yi_1_5_34b_chat,,,22.026,,,,,,,,
01_ai_yi_34b_chat,,,23.753999999999998,,,,,,,,
10.10.x,,,,,,,,,499.0659700031606,,2022-02-04
10.11.x,,,,,,,,,1288.2140350706584,,2022-04-06
10.12.x,,,,,,,,,836.2727064917827,,2022-05-31
10.3.x,,,,,,,,,0.0,,2021-10-25
10.4.x,,,,,,,,,0.0,,2021-11-08
10.5.x,,,,,,,,,0.0,,2021-11-23
10.6.x,,,,,,,,,0.0,,2021-12-12
10.69.x,,,,,,,,,840.817666853151,,2022-09-06
10.8.x,,,,,,,,,1044.1767170006603,,2021-12-25
10.9.x,,,,,,,,,704.5637223574032,,2022-01-19
11.3.x,,,,,,,,,831.7766166719343,,2023-03-27
11.4.x,,,,,,,,,824.543776526961,,2023-05-24
12.2.x,,,,,,,,,221.80709777918247,,2024-02-21
12.3.x,,,,,,,,,1928.822532714918,,2024-03-15
12.4.x,,,,,,,,,0.0,,2024-07-11
12.5.x,,,,,,,,,2291.7109342545136,,2024-07-24
12.6.x,,,,,,,,,3564.756928594004,,2025-01-14
13.2.8,,,,,,,,,4011.0116848402167,,2025-02-19
13.2.x,,,,,,,,,5590.901859331626,,2024-11-30
accounts_fireworks_models_deepseek_r1,,,3256.086,,,,,,,,
accounts_fireworks_models_deepseek_r1_0528,,,21795.113999999998,,,,,,,,
accounts_fireworks_models_deepseek_v3_0324,,,2728.254,,,,,,,,
accounts_fireworks_models_llama_v3p2_90b_vision_instruct,,,217.89600000000002,,,,,,,,
accounts_fireworks_models_llama_v3p3_70b_instruct,,,0.49200000000000005,,,,,,,,
adaretake,,,,,,,,,,2009586.3299999998,
ai21_jamba_1_6_large,0.0,0.0,,,,,,,,,2025-03-06
ai21_jamba_1_6_mini,0.0,0.0,,,,,,,,,2025-03-06
allenai_llama_3_1_tulu_3_70b_dpo,,,150.282,,,,,,,,
alphallm,,,,,,87.45,,,,,
alphamath_7b_sbs_3,,,,,,213.006,,,,,
aria,,,,,,,,,,7016.652,
branch_train_mix_4x7b,,,,,,8.639999999999999,,,,,
bytedance_llava_video_72b_qwen2,,,,,,,,,,39992.532,2024-09-02
bytevideollm,,,,,,,,,,1643.472,
camelidae_8_34b,,,,,,12.336,,,,,
claude_2_0,,,84.42,,,,,,,,2023-07-11
claude_2_1,,,96.498,,,,,,,,2023-11-21
claude_3_5_haiku_20241022,,,305.96999999999997,,,,,,,,2024-10-22
claude_3_5_haiku_latest,0.0,222.03,,,,,,,,,2024-10-22
claude_3_5_sonnet,,,,,,304.12199999999996,,,,,2024-06-20
claude_3_5_sonnet_20240620,,,758.736,,,,,,,,2024-06-20
claude_3_5_sonnet_20241022,,,846.114,,,,1001.2019999999999,,,,2024-10-22
claude_3_5_sonnet_latest,51.216,1071.408,,1659.618,1739.01072,,,21.882,,,2024-10-22
claude_3_5_sonnet_old,,,,1097.5079999999998,1093.0098,,,,,,2024-06-20
claude_3_7_sonnet,,1810.518,,3794.976,3253.58052,10704.905999999999,1456.5839999999998,46.715999999999994,,,2025-02-24
claude_3_7_sonnet_20250219,,,1672.812,,,,,,,,2025-02-24
claude_3_7_sonnet_nothinking,1588.92,,,,,,,,,,2025-02-24
claude_3_7_sonnet_thinking,5381.388,3397.98,,,,,,,,,2025-02-24
claude_3_haiku,,101.22,,,,,610.722,,,,2024-03-13
claude_3_haiku_20240307,,,101.25,,,,,,,,2024-03-07
claude_3_opus,,634.026,,479.964,385.36949999999996,,,1.098,,,2024-03-04
claude_3_opus_20240229,,,500.178,,,,,,,,2024-02-29
claude_3_sonnet,,273.87600000000003,,,,,,,,,2024-03-04
claude_3_sonnet_20240229,,,377.286,,,,,,,,2024-02-29
claude_opus_4_20250514,,,70088.424,,,,,,,,2025-05-22
claude_sonnet_4_20250514,,,3095.5679999999998,,,,,,,,2025-05-22
cogagent,,,,,,,,0.0,,,2023-12-15
cogagent_9b,,,,,,,,4.632000000000001,,,2024-12-20
cohere_command_a,68.298,56.922,,,,,,,,,2025-03-13
cohere_command_r_plus,,56.922,,,,,,,,,2024-04-04
cr,,,,,,136.482,,,,,
cua,,,,,,,,60.156,,,2025-01-23
damomath_7b,,,,,,213.006,,,,,
dart_math_dsmath_7b_prop2diff,,,,,,104.49600000000001,,,,,
dart_math_dsmath_7b_uniform,,,,,,95.592,,,,,
dart_math_llama3_70b_prop2diff,,,,,,124.86,,,,,
dart_math_llama3_70b_uniform,,,,,,104.49600000000001,,,,,
dart_math_llama3_8b_prop2diff,,,,,,66.954,,,,,
dart_math_llama3_8b_uniform,,,,,,61.248,,,,,
dart_math_mistral_7b_prop2diff,,,,,,61.248,,,,,
dart_math_mistral_7b_uniform,,,,,,56.034,,,,,
databricks_dbrx_instruct,,,277.572,,,,,,,,
davinci_002,,,,14.274000000000001,8.9316,,,,,,2020-05-28
davinci_002_175b,,,,,,10.326,,,,,2020-05-28
deepseek_deepseek_r1,2291.076,,,,,,,,,,2025-01-20
deepseek_llm_67b_chat,,,216.834,,,,,,,,2023-11-29
deepseek_r1_distill_llama_70b,,,618.81,,,,,,,,2025-01-20
deepseek_r1_distill_qwen_14b,,,510.69,,,,,,,,2025-01-20
deepseek_v3,187.02,782.0699999999999,707.784,,,,513.582,,,,2024-12-26
deepseek_v3_03_24_2025,676.47,1189.938,,,,,,,,,2025-03-24
deepseekmath_7b_kpmath_plus,,,,,,73.188,,,,,
deepseekmath_rl_7b,,,,,,87.45,,,,,
gal_120b,,,,,,7.2299999999999995,,,,,
gal_30b,,,,,,5.064,,,,,
gal_30b__work_,,,,,,4.236,,,,,
gemini_1_0_pro_001,,,16.866,,,,,,,,2024-02-15
gemini_1_5_flash_001,,,203.928,,,,,,,,2024-05-23
gemini_1_5_flash_002,91.074,416.706,169.82999999999998,,,,,,,17885.874,2024-09-24
gemini_1_5_flash_8b_001,,,63.053999999999995,,,,,,,,2024-10-03
gemini_1_5_pro,,222.03,,,,,,2.604,,,2024-09-24
gemini_1_5_pro_001,,,415.398,,,,,,,,2024-05-24
gemini_1_5_pro_002,105.16799999999999,964.6859999999999,968.622,,,,,,,1128133.308,2024-09-24
gemini_1_5_pro_022024,,273.87600000000003,,,,,,,,,2024-02-01
gemini_1_5_pro_052024,,416.706,,,,,,,,,2024-05-01
gemini_2_0_flash_001,215.97,1630.176,1482.054,,,,,,,,2025-02-05
gemini_2_0_flash_experimental,,,,,,1804.3319999999999,,,,,2025-02-05
gemini_2_0_flash_thinking_exp_01_21,,,776.088,,,,,,,,2025-01-21
gemini_2_0_pro_exp_02_05,,,1660.674,,,,,,,,2025-02-05
gemini_2_5_flash_preview,,,,,,,1736.334,,,,2025-03-28
gemini_2_5_flash_preview_05_20,,,22.92,,,,,,,,2025-05-20
gemini_2_5_pro,,,,,,,6156.906,,,,
gemini_2_5_pro_exp,5381.388,4655.112,,,,,,68.262,,,2025-03-28
gemini_2_5_pro_exp_03_25,,,45736.475999999995,,,,,,,,2025-03-25
gemini_pro,,,,,,27.486,,,,,2023-12-13
gemini_pro_vision,,,,,,,,3.474,,,2024-02-15
gemini_ultra,,,,,,104.49600000000001,,,,,2023-12-19
gemma_2_27b_it,,,53.634,,,,,,,,2024-06-24
gemma_2_9b_it,,,265.44,,,,,,,,2024-06-24
gemma_3_27b_it,,,269.052,,,,,,,,2025-03-12
gpt_2,,,,4.128,2.38752,,,,,,2019-02-14
gpt_3_175b,,,,,,1.458,,,,,2020-05-28
gpt_3_5,,56.922,,,,,,,,,2022-03-15
gpt_3_5_turbo_0125,,,113.988,,,,,,,,2024-01-25
gpt_3_5_turbo_1106,,,0.0,,,,,,,,2023-11-06
gpt_3_5_turbo_instruct,,,,49.362,36.27084,,,,,,2023-09-18
gpt_4,,,,,,51.257999999999996,,,,,2023-03-14
gpt_4_0125,,,,317.4,321.96378,,,,,,2024-01-25
gpt_4_0125_preview,,,358.326,,,,,,,,2024-01-25
gpt_4_0314,,155.874,,390.306,321.8427,,,,,,2023-03-14
gpt_4_0613,,,271.06800000000004,,,,,,,,2023-06-13
gpt_4_1106,,,,590.2139999999999,513.44598,,,,,,2023-11-06
gpt_4_1106_preview,,,345.954,,,,,,,,2023-11-06
gpt_4_1_2025_04_14,,,2579.2200000000003,,,,,,,,2025-04-14
gpt_4_1_mini_2025_04_14,,,1892.376,,,,,,,,2025-04-14
gpt_4_1_nano_2025_04_14,,,0.408,,,,,,,,2025-04-14
gpt_4_5_preview_2025_02_27,,,2665.9739999999997,,,,,,,,2025-02-27
gpt_4_code_model,,,,,,149.19,,,,,2023-06-13
gpt_4_turbo,,,,390.306,394.04033999999996,1510.044,,,,,2023-11-06
gpt_4_turbo_0409,,514.008,,,,,,,,,2024-04-09
gpt_4_turbo_2024_04_09,,,459.762,,,,757.278,,,,2024-04-09
gpt_4_vision,,,,,,,,4.632000000000001,,486.864,2023-11-06
gpt_4o,,,,,,518.838,,1.9559999999999997,,37272.582,2024-05-13
gpt_4o_0513,,782.0699999999999,,,,,,,,,2024-05-13
gpt_4o_2024_05_13,,634.026,471.048,590.2139999999999,550.2270000000001,,,,,,2024-05-13
gpt_4o_2024_08_06,68.298,,540.726,,,,802.422,,,,2024-08-06
gpt_4o_2024_11_20,59.142,704.172,542.586,,,,,13.194,,,2024-11-20
gpt_4o_mini,51.216,375.19800000000004,,,,,,1.9559999999999997,,3082.662,2024-07-18
gpt_4o_mini_2024_07_18,,,333.05400000000003,,,,758.586,,,,2024-07-18
grok_2_1212,,,738.096,,,,,,,,2024-12-12
grok_3_beta,,,861.09,,,,,,,,2025-04-09
grok_3_mini,,,,,,,6564.3060000000005,,,,
grok_3_mini_beta,,,5607.186000000001,,,,,,,,
internvl2_5,,,,,,,,,,3705.012,
linvt,,,,,,,,,,2336.214,
livecc,,,,,,,,,,3998.082,
llama2_13b_kpmath_plus,,,,,,46.896,,,,,
llama_33b_maj1_k,,,,,,7.2299999999999995,,,,,
llama_65b,,,,,,4.236,,,,,2023-02-24
llava_onevision,,,,,,,,,,1818.1499999999999,
llemma_34b_kpmath_plus,,,,,,73.188,,,,,
logicnet,,,,,,304.12199999999996,,,,,
mathcoder_cl_13b,,,,,,35.904,,,,,
mathcoder_cl_34b,,,,,,61.248,,,,,
mathcoder_cl_7b,,,,,,25.145999999999997,,,,,
mathcoder_l_13b,,,,,,23.004,,,,,
mathcoder_l_34b,,,,,,61.248,,,,,
mathcoder_l_7b,,,,,,14.742,,,,,
meta_llama_2_70b_chat,,75.90599999999999,,,,,,,,,2023-07-18
meta_llama_3_3_instruct_turbo_70b,91.074,570.87,,,,,,,,,2024-12-06
meta_llama_4_maverick,174.036,1810.518,,,,,,,,,2025-04-05
meta_llama_4_scout,105.16799999999999,375.19800000000004,,,,,,,,,2025-04-04
meta_llama_llama_2_70b_chat_hf,,,80.664,,,,,,,,
meta_llama_llama_4_maverick_17b_128e_instruct_fp8,,,3170.232,,,,,,,,
meta_llama_llama_4_scout_17b_16e_instruct,,,639.042,,,,,,,,
meta_llama_meta_llama_3_1_405b_instruct,,,126.792,,,,,,,,
meta_llama_meta_llama_3_1_70b_instruct,,,243.27599999999998,,,,,,,,
meta_llama_meta_llama_3_1_8b_instruct,,,226.746,,,,,,,,
meta_llama_meta_llama_3_70b_instruct,,,340.452,,,,,,,,
meta_llama_meta_llama_3_8b_instruct,,,297.624,,,,,,,,
metamath_13b,,,,,,12.336,,,,,
metamath_70b,,,,,,17.61,,,,,
minerva_540b,,,,,,87.45,,,,,2022-07-01
minerva_62b,,,,,,213.006,,,,,2022-07-01
minerva_8b,,,,,,73.188,,,,,
minicpm_o_2_6,,,,,,,,,,1055.4660000000001,
minicpm_v_2_6,,,,,,,,,,524.49,
ministral_3b_2410,,,105.864,,,,,,,,2024-10-16
ministral_8b_2410,,,163.20000000000002,,,,,,,,2024-10-16
mistral_7b,,,,,,5.064,,,,,
mistral_7b_instruct_v0_3,,,22.151999999999997,,,,,,,,2024-05-27
mistral_7b_kpmath_plus,,,,,,66.954,,,,,
mistral_large_11_2024,38.406,416.706,,,,,,,,,2024-11-01
mistral_large_2402,,,19.032,,,,,,,,2024-02-26
mistral_large_2407,,,618.924,,,,,,,,2024-07-24
mistral_large_2411,,,740.466,,,,,,,,2024-11-18
mistral_medium_2505,,,1087.722,,,,,,,,2025-05-07
