model,horizon,slope,slope_method,score,loss
google_gemini_2_5_pro_exp,77.5852,0.6000,guess,0.8030,0.0012
xai_grok_3_mini_fast_beta_high_reasoning,69.8569,0.6000,guess,0.7900,0.0011
anthropic_claude_3_7_sonnet_thinking,56.6330,0.6000,guess,0.7530,0.0085
openai_o3_mini,50.9918,0.6000,guess,0.7500,0.0028
xai_grok_3_beta,45.9125,0.6000,guess,0.7370,0.0045
openai_o1,45.9125,0.6000,guess,0.7300,0.0025
xai_grok_3_mini_fast_beta_low_reasoning,45.9125,0.6000,guess,0.7270,0.0055
meta_llama_4_maverick,30.1753,0.6000,guess,0.6770,0.0065
anthropic_claude_3_7_sonnet,30.1753,0.6000,guess,0.6740,0.0035
google_gemini_2_0_flash_001,27.1696,0.6000,guess,0.6520,0.0024
deepseek_v3_03_24_2025,19.8323,0.6000,guess,0.6110,0.0052
anthropic_claude_3_5_sonnet_latest,17.8568,0.6000,guess,0.5910,0.0013
google_gemini_1_5_pro_002,16.0781,0.6000,guess,0.5830,0.0094
deepseek_v3,13.0345,0.6000,guess,0.5400,0.0022
openai_gpt_4o_0513,13.0345,0.6000,guess,0.5360,0.0062
openai_gpt_4o_2024_11_20,11.7362,0.6000,guess,0.5300,0.0032
mistral_small_02_2024,10.5671,0.6000,guess,0.5080,0.0038
openai_gpt_4o_2024_05_13,10.5671,0.6000,guess,0.5030,0.0088
anthropic_claude_3_opus,10.5671,0.6000,guess,0.5040,0.0078
meta_llama_3_3_instruct_turbo_70b,9.5145,0.6000,guess,0.5000,0.0028
xai_grok_2,9.5145,0.6000,guess,0.5000,0.0028
openai_gpt_4_turbo_0409,8.5668,0.6000,guess,0.4800,0.0030
google_gemini_1_5_pro_052024,6.9451,0.6000,guess,0.4620,0.0061
google_gemini_1_5_flash_002,6.9451,0.6000,guess,0.4600,0.0041
mistral_large_11_2024,6.9451,0.6000,guess,0.4520,0.0039
openai_gpt_4o_mini,6.2533,0.6000,guess,0.4420,0.0011
meta_llama_4_scout,6.2533,0.6000,guess,0.4440,0.0009
mistral_small_3_1_03_2025,4.5646,0.6000,guess,0.4140,0.0062
google_gemini_1_5_pro_022024,4.5646,0.6000,guess,0.4140,0.0062
anthropic_claude_3_sonnet,4.5646,0.6000,guess,0.4040,0.0038
anthropic_claude_3_5_haiku_latest,3.7005,0.6000,guess,0.3790,0.0080
google_gemini_1_5_pro,3.7005,0.6000,guess,0.3950,0.0080
openai_gpt_4_0314,2.5979,0.6000,guess,0.3570,0.0003
anthropic_claude_3_haiku,1.6870,0.6000,guess,0.3330,0.0056
meta_llama_2_70b_chat,1.2651,0.6000,guess,0.3110,0.0010
openai_gpt_3_5,0.9487,0.6000,guess,0.2930,0.0064
cohere_command_a,0.9487,0.6000,guess,0.2930,0.0064
cohere_command_r_plus,0.9487,0.6000,guess,0.2900,0.0094
ai21_jamba_1_6_large,,0.6000,guess,,
ai21_jamba_1_6_mini,,0.6000,guess,,
