model,horizon,slope,score
anthropic_claude_3_opus,6.422825,0.551748,0.377459
anthropic_claude_3_5_sonnet_latest,28.983512,0.524556,0.52701
anthropic_claude_3_5_sonnet_old,18.21683,0.552429,0.476797
anthropic_claude_3_7_sonnet,54.226342,0.753789,0.599681
openai_gpt_2,0.039792,0.49278,0.101641
openai_gpt_4_0125,5.366063,0.640663,0.351726
openai_gpt_4_0314,5.364045,0.560241,0.361067
openai_gpt_4_1106,8.557433,0.541915,0.404329
openai_gpt_4_turbo,6.567339,0.657572,0.367357
openai_gpt_4o_2024_05_13,9.17045,0.568075,0.407636
openai_davinci_002,0.14886,0.653157,0.162822
openai_gpt_3_5_turbo_instruct,0.604514,0.76923,0.215725
openai_o1,39.206576,0.510703,0.55932
openai_o1_preview,22.221357,0.611026,0.494422
openai_o3,111.303394,0.571223,0.5782
openai_o4_mini,77.845828,0.591306,0.534356
