model,horizon,slope,slope_method,score,loss
o3-mini-high,363.6955,0.6000,guess,0.9790,0.0046
Claude 3.7 Sonnet,178.4151,0.6000,guess,0.9620,0.0090
o1,178.4151,0.6000,guess,0.9640,0.0070
Gemini 2.0 Flash Experimental,30.0722,0.6000,guess,0.8970,0.0029
Qwen2.5-Math-72B-Instruct,25.1674,0.6000,guess,0.8810,0.0000
GPT-4 Turbo,25.1674,0.6000,guess,0.8792,0.0018
Qwen2.5-Math-7B-Instruct,17.6273,0.6000,guess,0.8520,0.0009
Qwen2-Math-72B-Instruct,14.7523,0.6000,guess,0.8400,0.0057
OpenMath2-Llama3.1-70B,10.3325,0.6000,guess,0.7960,0.0006
Qwen2.5-Math-1.5B-Instruct,10.3325,0.6000,guess,0.7990,0.0024
GPT-4o,8.6473,0.6000,guess,0.7660,0.0098
OpenMath2-Llama3.1-8B,7.2369,0.6000,guess,0.7610,0.0073
Claude 3.5 Sonnet,5.0687,0.6000,guess,0.7110,0.0051
LogicNet,5.0687,0.6000,guess,0.7120,0.0061
Qwen2-72B-Instruct-Step-DPO,5.0687,0.6000,guess,0.7080,0.0021
DAMOMath-7B,3.5501,0.6000,guess,0.6450,0.0088
AlphaMath-7B-SBS@3,3.5501,0.6000,guess,0.6630,0.0092
Minerva 62B,3.5501,0.6000,guess,0.6490,0.0048
MMOS-DeepSeekMath-7B,3.2478,0.6000,guess,0.6370,0.0032
GPT-4-code model,2.4865,0.6000,guess,0.6080,0.0097
CR,2.2747,0.6000,guess,0.5800,0.0040
SKiC,2.0810,0.6000,guess,0.5640,0.0055
DART-Math-Llama3-70B-Prop2Diff,2.0810,0.6000,guess,0.5610,0.0085
DART-Math-Llama3-70B-Uniform,1.7416,0.6000,guess,0.5490,0.0086
PHP,1.7416,0.6000,guess,0.5390,0.0014
DART-Math-DSMath-7B-Prop2Diff,1.7416,0.6000,guess,0.5360,0.0044
Gemini Ultra,1.7416,0.6000,guess,0.5320,0.0084
DART-Math-DSMath-7B-Uniform,1.5932,0.6000,guess,0.5290,0.0033
