model,horizon,slope,score,loss
o4 mini,85.5742,0.6000,0.7500,0.0010
o3 mini 2025 01 31,56.5685,0.6000,0.6910,0.0094
gemini 2.5 pro,56.5685,0.6000,0.6840,0.0024
grok 3 mini,56.5685,0.6000,0.6810,0.0006
qwen3 235b a22b,44.1280,0.6000,0.6420,0.0047
gemini 2.5 flash preview,37.3944,0.6000,0.6040,0.0025
claude 3.7 sonnet,24.7195,0.6000,0.5310,0.0043
claude 3.5 sonnet 20241022,11.7343,0.6000,0.3860,0.0031
gpt 4o 2024 08 06,7.7569,0.6000,0.3030,0.0064
gpt 4o mini 2024 07 18,6.5733,0.6000,0.2840,0.0018
gpt 4 turbo 2024 04 09,6.5733,0.6000,0.2820,0.0002
deepseek v3,4.7203,0.6000,0.2320,0.0000
claude 3 haiku,4.7203,0.6000,0.2280,0.0040
