model,horizon,slope,score
o4 mini,58.857092185905856,0.3727206076944253,75.0
o3 mini 2025 01 31,34.95991180098144,0.5313543393657512,69.1
gemini 2.5 pro,38.6853958590578,0.45516256499258567,68.4
grok 3 mini,39.491627077740496,0.43763737040592626,68.1
qwen3 235b a22b,27.90918738596498,0.6229399104717844,64.2
gemini 2.5 flash preview,24.972546312976256,0.6456940336611143,60.4
claude 3.7 sonnet,19.231840291652592,0.8324976416660829,53.1
claude 3.5 sonnet 20241022,13.308182754848964,1.2040832281689018,38.6
gpt 4o 2024 08 06,11.257140294524211,1.6704821491835746,30.3
gpt 4o mini 2024 07 18,10.427075330543662,1.6232981409538392,28.4
gpt 4 turbo 2024 04 09,10.754326477680733,1.7662810281821142,28.2
deepseek v3,8.629772383109941,1.1734309848373712,23.2
claude 3 haiku,9.27985122353972,1.6843970298336652,22.8
