model,horizon,slope,slope_method,score,loss
openai/o3-2025-04-16,119.4518,0.9159,mle,0.8389,13.6918
openai/o4-mini-2025-04-16,94.5179,0.9964,mle,0.8167,13.9364
openai/o3-mini-2025-01-31,79.2207,0.7995,mle,0.7694,18.0311
google/gemini-2.5-flash-preview-04-17,68.7526,0.6867,mle,0.7306,20.9191
google/gemini-2.5-flash-preview-05-20,63.6327,0.6295,mle,0.7083,22.4273
grok/grok-3-mini-beta,59.2832,1.6366,mle,0.7778,10.1007
anthropic/claude-opus-4-20250514,53.0309,0.4574,mle,0.6444,26.4068
openai/o1-2024-12-17,52.9180,1.0596,mle,0.7333,16.3761
fireworks/accounts/fireworks/models/deepseek-r1-0528,51.9378,0.5578,mle,0.6639,24.7067
google/gemini-2.0-flash-thinking-exp-01-21,26.7472,0.7470,mle,0.5778,24.2122
anthropic/claude-3-7-sonnet-20250219,24.6421,0.9722,mle,0.5778,21.4898
grok/grok-3-beta,22.4011,0.9496,mle,0.5556,22.1306
fireworks/accounts/fireworks/models/deepseek-r1,21.8094,0.6723,mle,0.5333,25.7024
together/deepseek-ai/deepseek-r1-distill-llama-70b,19.8656,0.6296,mle,0.5139,26.3584
anthropic/claude-sonnet-4-20250514,19.6561,1.0965,mle,0.5333,20.8976
openai/o1-mini-2024-09-12,13.9786,0.8523,mle,0.4472,24.1160
openai/gpt-4.1-mini-2025-04-14,13.9645,0.7657,mle,0.4472,24.9973
openai/gpt-4.1-2025-04-14,10.5388,0.8804,mle,0.3833,23.5732
fireworks/accounts/fireworks/models/deepseek-v3-0324,10.1003,0.8036,mle,0.3778,24.1997
openai/gpt-4.5-preview-2025-02-27,9.7983,0.7115,mle,0.3778,25.0333
openai/o1-preview-2024-09-12,8.0322,1.0484,mle,0.3111,21.3132
mistral/mistral-medium-2505,7.2645,0.7007,mle,0.3222,24.1320
google/gemini-2.0-flash-001,6.9738,0.7271,mle,0.3111,23.6588
openai/gpt-4.1-nano-2025-04-14,6.3460,0.7603,mle,0.2889,22.8331
fireworks/accounts/fireworks/models/deepseek-v3,4.9929,1.6029,mle,0.1583,14.5226
google/gemma-3-27b-it,4.6475,0.9986,mle,0.1972,18.2515
together/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,4.6334,0.9308,mle,0.2056,18.8993
google/gemini-1.5-pro-002,3.4741,0.5790,mle,0.2306,21.8996
sagemaker/microsoft/phi-4,3.1799,0.9727,mle,0.1375,15.2561
anthropic/claude-2.1,2.8999,2.7693,mle,0.0194,3.3699
openai/gpt-4-turbo-2024-04-09,2.7879,1.4539,mle,0.0667,8.9700
alibaba/qwen-plus-2025-01-25,2.7723,0.6667,mle,0.1778,18.7660
together/meta-llama/Llama-4-Scout-17B-16E-Instruct,2.7097,1.2824,mle,0.0778,10.1563
mistral/mistral-small-2501,2.5616,1.5184,mle,0.0528,7.6070
mistral/mistral-small-2503,2.5365,1.4317,mle,0.0583,8.2813
openai/gpt-4o-2024-11-20,2.4118,1.3170,mle,0.0625,8.8508
alibaba/qwen-max-2025-01-25,2.3114,0.6463,mle,0.1611,17.8635
alibaba/qwen-turbo-2024-11-01,2.2201,1.2356,mle,0.0611,8.7361
sagemaker/google/gemma-2-9b-it,1.9944,2.6710,mle,0.0056,1.3014
anthropic/claude-3-sonnet-20240229,1.9695,1.6667,mle,0.0250,4.4191
google/gemini-1.5-flash-002,1.8563,0.5605,mle,0.1625,18.3107
sagemaker/meta-llama/Meta-Llama-3-70B-Instruct,1.6894,1.1954,mle,0.0431,6.9153
google/gemini-1.5-pro-001,1.6656,0.9504,mle,0.0681,9.8218
sagemaker/meta-llama/Llama-2-70b-chat-hf,1.5538,9.2581,mle,0.0000,0.0450
fireworks/accounts/fireworks/models/llama-v3p3-70b-instruct,1.4303,0.9929,mle,0.0514,8.0193
google_vertex/publishers/meta/models/llama-3.1-8b-instruct-maas,1.1649,1.1893,mle,0.0250,4.7262
sagemaker/google/gemma-2-27b-it,1.1155,1.3836,mle,0.0139,2.8984
google_vertex/publishers/meta/models/llama-3.1-405b-instruct-maas,1.0646,0.6157,mle,0.0972,13.2158
google/gemini-1.0-pro-001,1.0008,1.3984,mle,0.0111,2.4468
grok/grok-2-1212,0.9072,0.5170,mle,0.1153,15.0128
openai/gpt-4o-2024-08-06,0.8816,0.7065,mle,0.0639,9.7818
sagemaker/Qwen/Qwen2.5-32B-Instruct,0.8150,0.6390,mle,0.0736,10.9266
openai/gpt-4o-2024-05-13,0.6648,0.6375,mle,0.0625,9.7422
sagemaker/allenai/Llama-3.1-Tulu-3-70B-DPO,0.6143,0.7157,mle,0.0444,7.5469
mistral/mistral-large-2407,0.5427,0.5112,mle,0.0847,12.2756
anthropic/claude-3-5-sonnet-20240620,0.5179,0.5720,mle,0.0653,10.1590
anthropic/claude-2.0,0.5047,0.8197,mle,0.0250,4.8582
google/gemini-1.5-flash-8b-001,0.4727,0.6437,mle,0.0458,7.7892
sagemaker/NousResearch/Hermes-2-Theta-Llama-3-70B,0.4036,0.7616,mle,0.0250,4.9136
anthropic/claude-3-5-sonnet-20241022,0.3632,0.4509,mle,0.0847,12.4105
fireworks/accounts/fireworks/models/llama-v3p2-90b-vision-instruct,0.3000,0.6799,mle,0.0264,5.1384
mistral/mistral-large-2411,0.2558,0.4267,mle,0.0778,11.7495
anthropic/claude-3-opus-20240229,0.2460,0.5240,mle,0.0472,8.1197
anthropic/claude-3-5-haiku-20241022,0.2277,0.5313,mle,0.0431,7.5736
google_vertex/publishers/meta/models/llama-3.1-70b-instruct-maas,0.1726,0.5272,mle,0.0361,6.6437
sagemaker/Qwen/Qwen2.5-72B-Instruct,0.1294,0.3561,mle,0.0806,12.1808
sagemaker/meta-llama/Meta-Llama-3-8B-Instruct,0.0926,0.6942,mle,0.0083,2.0634
anthropic/claude-3-haiku-20240307,0.0715,0.5382,mle,0.0181,3.8980
google/gemini-1.5-flash-001,0.0100,0.3048,mle,0.0389,7.2737
mistral/mistral-large-2402,0.0100,0.3761,mle,0.0194,4.2935
