model,horizon,slope,slope_method,score,loss
EquAct,1.7584,0.6000,guess,0.8940,0.0084
SAM2Act,1.3722,0.6000,guess,0.8680,0.0056
ARP+,1.2122,0.6000,guess,0.8490,0.0004
3D-LOTUS,1.0709,0.6000,guess,0.8310,0.0045
RVT-2,0.8357,0.6000,guess,0.8140,0.0094
3D Diffuser Actor,0.8357,0.6000,guess,0.8130,0.0084
Mini Diffuser,0.6521,0.6000,guess,0.7760,0.0064
SAM-E,0.4496,0.6000,guess,0.7060,0.0035
Act3D,0.3099,0.6000,guess,0.6500,0.0087
RVT,0.2913,0.6000,guess,0.6290,0.0002
PolarNet,0.1301,0.6000,guess,0.4640,0.0002
Hiveformer,0.1223,0.6000,guess,0.4530,0.0021
PerAct,0.1080,0.6000,guess,0.4270,0.0016
C2FARM-BC,0.0295,0.6000,guess,0.2010,0.0021
Image-BC VIT,,0.6000,guess,,
Image-BC CNN,,0.6000,guess,,
