model,horizon,slope,slope_method,score,loss
anthropic/claude-sonnet-4-20250514,37.8182,0.5061,mle,0.6060,312.5905
anthropic/claude-opus-4-20250514,37.8180,0.6030,mle,0.6220,301.1465
anthropic/claude-3-7-sonnet-20250219,22.5941,0.5072,mle,0.5220,322.8762
anthropic/claude-3-5-sonnet-20241022,12.0924,0.6111,mle,0.4060,307.4213
openai/gpt-4.1-2025-04-14,10.8776,0.4525,mle,0.4100,320.5424
grok/grok-3-beta,9.7944,0.4988,mle,0.3860,312.6959
openai/o3-mini-2025-01-31,9.3944,0.5066,mle,0.3780,310.3930
openai/o4-mini-2025-04-16,7.5684,0.5002,mle,0.3460,302.7065
openai/gpt-4.1-mini-2025-04-14,6.1216,0.4544,mle,0.3280,300.2280
alibaba/qwen-plus-2025-04-28,5.9147,0.6114,mle,0.2800,271.8156
anthropic/claude-3-5-sonnet-20240620,5.9012,0.4644,mle,0.3200,296.8842
google/gemini-2.0-flash-001,3.3608,0.5415,mle,0.2200,246.6863
grok/grok-3-mini-beta,3.0374,0.7331,mle,0.1520,192.5370
