release_date,model,horizon
2021-10-25,10.3.x,
2021-11-08,10.4.x,
2021-11-23,10.5.x,
2021-12-12,10.6.x,
2021-12-25,10.8.x,25.107142857142858
2022-01-19,10.9.x,16.941176470588236
2022-02-04,10.10.x,12.0
2022-04-06,10.11.x,30.975
2022-05-31,10.12.x,20.10810810810811
2022-09-06,10.69.x,20.217391304347824
2023-03-27,11.3.x,20.0
2023-05-24,11.4.x,19.82608695652174
2024-02-21,12.2.x,5.333333333333333
2024-03-15,12.3.x,46.37837837837838
2024-07-11,12.4.x,
2024-07-24,12.5.x,55.104
2024-11-30,13.2.x,134.4327731092437
2025-01-14,12.6.x,85.71428571428571
2025-02-19,13.2.8,96.44444444444444
