minor_version	release_date	city_miles	hwy_miles	city_miles_to_de	hwy_miles_to_de
10.3.x	2021-10-25	537.0	166.0	4.0	nan
10.4.x	2021-11-08	706.0	275.0	3.0	nan
10.5.x	2021-11-23	793.0	209.0	7.0	nan
10.6.x	2021-12-12	312.0	758.0	10.0	nan
10.8.x	2021-12-25	3139.0	3429.0	9.663417136993331	37.31369606003752
10.9.x	2022-01-19	1809.0	735.0	9.0	16.0
10.10.x	2022-02-04	4090.0	4547.0	9.347384459116302	9.289098973638522
10.11.x	2022-04-06	4464.0	7457.0	29.999999999999996	21.0
10.12.x	2022-05-31	8545.0	15080.0	6.0	62.0
10.69.x	2022-09-06	15232.0	8374.0	7.502728157102756	31.587160672458133
11.3.x	2023-03-27	5155.0	4319.0	7.350447372039375	35.22249558968044
11.4.x	2023-05-24	13978.0	15690.0	6.096336648674245	57.30971148902338
12.2.x	2024-02-21	149.0	62.0	12.0	3.0
12.3.x	2024-03-15	23537.0	25523.0	16.53772475520632	78.53965045814876
12.4.x	2024-07-11	760.0	295.0	nan	nan
12.5.x	2024-07-24	46902.0	44682.0	20.52098736860134	84.6561956839703
13.2.x	2024-11-30	12672.0	13041.0	40.79787299904763	395.62318979936134
12.6.x	2025-01-14	21061.0	12202.0	30.388555228307784	150.77127153867804
13.2.8	2025-02-19	10728.0	12610.0	31.0	217.0
