model,horizon,slope,slope_method,benchmark,score,release_date
o3_mini_high,21821.73,0.6,,hendrycks_math,0.979,2025-01-31
claude_3_7_sonnet,10704.905999999999,0.6,,hendrycks_math,0.962,2025-02-24
o1,10704.905999999999,0.6,,hendrycks_math,0.964,2024-12-05
gemini_2_0_flash_experimental,1804.3319999999999,0.6,,hendrycks_math,0.897,2025-02-05
qwen2_5_math_72b_instruct,1510.044,0.6,,hendrycks_math,0.881,
gpt_4_turbo,1510.044,0.6,,hendrycks_math,0.8792,2023-11-06
qwen2_5_math_7b_instruct,1057.6380000000001,0.6,,hendrycks_math,0.852,
qwen2_math_72b_instruct,885.138,0.6,,hendrycks_math,0.84,
openmath2_llama3_1_70b,619.9499999999999,0.6,,hendrycks_math,0.796,2024-11-25
qwen2_5_math_1_5b_instruct,619.9499999999999,0.6,,hendrycks_math,0.799,
gpt_4o,518.838,0.6,,hendrycks_math,0.766,2024-05-13
openmath2_llama3_1_8b,434.214,0.6,,hendrycks_math,0.761,
claude_3_5_sonnet,304.12199999999996,0.6,,hendrycks_math,0.711,2024-06-20
logicnet,304.12199999999996,0.6,,hendrycks_math,0.712,
qwen2_72b_instruct_step_dpo,304.12199999999996,0.6,,hendrycks_math,0.708,
damomath_7b,213.006,0.6,,hendrycks_math,0.645,
alphamath_7b_sbs_3,213.006,0.6,,hendrycks_math,0.663,
minerva_62b,213.006,0.6,,hendrycks_math,0.649,2022-07-01
mmos_deepseekmath_7b,194.868,0.6,,hendrycks_math,0.637,
gpt_4_code_model,149.19,0.6,,hendrycks_math,0.608,
cr,136.482,0.6,,hendrycks_math,0.58,
skic,124.86,0.6,,hendrycks_math,0.564,
dart_math_llama3_70b_prop2diff,124.86,0.6,,hendrycks_math,0.561,
dart_math_llama3_70b_uniform,104.49600000000001,0.6,,hendrycks_math,0.549,
php,104.49600000000001,0.6,,hendrycks_math,0.539,
dart_math_dsmath_7b_prop2diff,104.49600000000001,0.6,,hendrycks_math,0.536,
gemini_ultra,104.49600000000001,0.6,,hendrycks_math,0.532,2023-12-19
dart_math_dsmath_7b_uniform,95.592,0.6,,hendrycks_math,0.529,
deepseekmath_rl_7b,87.45,0.6,,hendrycks_math,0.517,
alphallm,87.45,0.6,,hendrycks_math,0.51,
minerva_540b,87.45,0.6,,hendrycks_math,0.503,2022-07-01
mmos_code_34b,80.00399999999999,0.6,,hendrycks_math,0.495,
llemma_34b_kpmath_plus,73.188,0.6,,hendrycks_math,0.486,
shepherd___deepseek_67b,73.188,0.6,,hendrycks_math,0.481,
minerva_8b,73.188,0.6,,hendrycks_math,0.476,
palm_2,73.188,0.6,,hendrycks_math,0.488,2024-05-10
deepseekmath_7b_kpmath_plus,73.188,0.6,,hendrycks_math,0.488,
dart_math_llama3_8b_prop2diff,66.954,0.6,,hendrycks_math,0.466,
mistral_7b_kpmath_plus,66.954,0.6,,hendrycks_math,0.468,
dart_math_llama3_8b_uniform,61.248,0.6,,hendrycks_math,0.453,
mathcoder_cl_34b,61.248,0.6,,hendrycks_math,0.452,
mathcoder_l_34b,61.248,0.6,,hendrycks_math,0.451,
mmiqc_72b,61.248,0.6,,hendrycks_math,0.45,
mmos_code_7b,61.248,0.6,,hendrycks_math,0.443,
dart_math_mistral_7b_prop2diff,61.248,0.6,,hendrycks_math,0.455,
dart_math_mistral_7b_uniform,56.034,0.6,,hendrycks_math,0.435,
shepherd_mistral_7b,56.034,0.6,,hendrycks_math,0.435,
gpt_4,51.257999999999996,0.6,,hendrycks_math,0.425,2023-03-14
sft_mistral_7b,51.257999999999996,0.6,,hendrycks_math,0.418,
llama2_13b_kpmath_plus,46.896,0.6,,hendrycks_math,0.41,
mathcoder_cl_13b,35.904,0.6,,hendrycks_math,0.359,
mugglemath_70b,35.904,0.6,,hendrycks_math,0.356,
wizardmath_7b_v1_1,30.048000000000002,0.6,,hendrycks_math,0.33,
shepherd___mistral_7b,30.048000000000002,0.6,,hendrycks_math,0.33,
gemini_pro,27.486,0.6,,hendrycks_math,0.326,2023-12-01
mathcoder_cl_7b,25.145999999999997,0.6,,hendrycks_math,0.302,
mugglemath_13b,25.145999999999997,0.6,,hendrycks_math,0.307,
mathcoder_l_13b,23.004,0.6,,hendrycks_math,0.299,
qwen2idae_16x14b,23.004,0.6,,hendrycks_math,0.299,
