task_name,average_time_seconds,min_time,max_time,num_variations
put_item_in_drawer,15.400,14.250,16.700,3
reach_and_drag,8.883,8.100,9.950,3
turn_tap,7.200,5.550,8.850,2
slide_block_to_target,4.450,4.450,4.450,1
open_drawer,5.933,5.450,6.300,3
put_groceries_in_cupboard,10.817,8.800,11.950,3
place_shape_in_shape_sorter,9.617,7.300,12.750,3
put_money_in_safe,9.700,8.950,10.450,3
push_buttons,6.233,3.250,8.400,3
close_jar,9.250,7.800,11.700,3
stack_blocks,22.083,13.100,32.600,3
place_cups,19.683,8.500,30.650,3
place_hanger_on_rack,11.100,11.100,11.100,1
light_bulb_in,10.267,8.950,11.000,3
sweep_to_dustpan,6.100,6.100,6.100,1
insert_onto_square_peg,8.400,7.900,9.100,3
meat_off_grill,5.225,5.200,5.250,2
stack_cups,14.967,9.800,19.500,3


