Version   	 MinDate   	 Miles 	 City Miles	 Hwy Miles	 Entries	 %DrivesNoCriticalDE	 %DrivesNoDE	 City Miles to DE	 Hwy Miles to DE	 Miles to Critical DE	 City Miles to Critical DE	 Miles to DE
13.2.8    	 2/19/2025 	 23,337	 10,728    	 12,610   	 1,435  	 96.7%              	 80.6%      	               31	 217            	 458                 	                       210	          57
10.3.1    	 10/25/2021	 703   	 537       	 166      	 13     	 0.0%               	 0.0%       	                4	 166            	                     	                       537	           5
10.4      	 11/8/2021 	 981   	 706       	 275      	 15     	 0.0%               	 6.7%       	                3	 275            	                     	                       706	           5
10.5      	 11/23/2021	 1,002 	 793       	 209      	 26     	 0.0%               	 7.7%       	                7	 209            	                     	                       793	           9
10.6.1    	 12/12/2021	 1,071 	 312       	 758      	 12     	 0.0%               	 16.7%      	               10	 758            	                     	                       312	          36
10.8      	 12/25/2021	 1,315 	 521       	 793      	 17     	 0.0%               	 5.9%       	                6	 793            	                     	                       521	          15
10.8.1    	 1/12/2022 	 5,255 	 2,618     	 2,636    	 66     	 57.6%              	 4.5%       	               11	 29             	                     	                       164	          17
10.9      	 1/19/2022 	 2,544 	 1,809     	 735      	 78     	 34.6%              	 16.7%      	                9	 16             	                     	                        42	          11
10.10.    	 2/4/2022  	 510   	 323       	 187      	 15     	 66.7%              	 26.7%      	               17	 37             	 85                  	                        54	          22
10.10.2   	 2/18/2022 	 8,127 	 3,767     	 4,360    	 309    	 71.5%              	 21.0%      	                9	 9              	 49                  	                        28	           9
10.11.2   	 4/6/2022  	 11,921	 4,464     	 7,457    	 290    	 79.7%              	 34.8%      	               30	 21             	 56                  	                        59	          27
10.12.2   	 5/31/2022 	 23,625	 8,545     	 15,080   	 933    	 88.4%              	 30.8%      	                6	 62             	 126                 	                        64	          15
10.69.1.1 	 9/6/2022  	 252   	 159       	 93       	 26     	 73.1%              	 23.1%      	                5	 31             	 36                  	                        23	           7
10.69.2   	 9/11/2022 	 1,688 	 1,006     	 682      	 116    	 84.5%              	 43.1%      	                7	 32             	 55                  	                        44	          10
10.69.2.2 	 9/19/2022 	 4,254 	 2,505     	 1,749    	 324    	 90.4%              	 44.4%      	                7	 26             	 110                 	                        74	          10
10.69.2.3 	 10/5/2022 	 3,286 	 2,185     	 1,100    	 312    	 88.5%              	 49.7%      	                8	 35             	 82                  	                        55	          11
10.69.2.4 	 11/2/2022 	 3,175 	 2,180     	 995      	 288    	 90.6%              	 51.7%      	                8	 37             	 113                 	                        78	          10
10.69.3.1 	 11/22/2022	 3,558 	 2,371     	 1,187    	 303    	 90.8%              	 38.0%      	                6	 20             	 111                 	                        74	           7
10.69.25  	 12/22/2022	 1,063 	 624       	 439      	 77     	 87.0%              	 35.1%      	                7	 88             	 106                 	                        62	          11
10.69.25.1	 1/1/2023  	 2,429 	 1,576     	 853      	 211    	 89.1%              	 50.2%      	                9	 47             	 97                  	                        63	          12
10.69.25.2	 1/19/2023 	 3,902 	 2,626     	 1,276    	 441    	 95.2%              	 51.5%      	                9	 39             	 186                 	                       125	          12
11.3.3    	 3/27/2023 	 577   	 484       	 92       	 60     	 81.7%              	 36.7%      	                5	 12             	 48                  	                        40	           6
11.3.4    	 3/31/2023 	 2,203 	 1,156     	 1,047    	 173    	 95.4%              	 50.3%      	                7	 28             	 275                 	                       144	          11
11.3.6    	 4/9/2023  	 6,695 	 3,515     	 3,180    	 493    	 93.5%              	 45.8%      	                8	 41             	 181                 	                        95	          14
