model,task,sample_id,score,benchmark,run_id
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec06pnAkLOr2t2mp,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec0Arme2jcXQZnAW,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec0wZvZgiz320KRs,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec0yTRmO1o1xCA6H,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec1zl5LvaatzGhFt,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec260hNUCEj109Dj,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec2UlKqC6RFHdcro,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec2ZTsqazBZ3LTWZ,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec2fsnzUuvNtUYK8,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec4JrWy7Il8ho5vk,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec4L69T0Y1AS4AFS,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec4UqStf9WUVif1f,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec4r4KWNLrT7g2kR,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec527dNeEtWJrYNl,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec5eA17Qr1ucNLUf,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec5rjeLsEq5Fg7Oj,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec7C06XOB2h298ue,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec7qmSnbud4FHSqL,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec8nshandHARTkrg,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec8y3ZrBOcLgNEkE,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec9GugrngvsQR99A,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec9ubQihAh6g9bft,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recA1i5ZAh0Uzclxp,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recAAJoHMW45Lv5je,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recBGxVySx1pkrO1i,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recBXlqrZUCR897It,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recBtVK8rBVtIlXDq,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
